observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	18	0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	24	1		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	32	2		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	41	3		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	44	4		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	50	5		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	59	6		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	76	7		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	92	8		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	114	9		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	145	10		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
