observableId	observableName	observableFormula	noiseFormula	noiseDistribution
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports	Cumulative_cases_Counties_neighbouring_counties_with_airports	Cumulative_cases_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Cumulative_cases_Counties_neighbouring_counties_with_airports	normal
observable_Cumulative_cases_Counties_with_airports	Cumulative_cases_Counties_with_airports	Cumulative_cases_Counties_with_airports	noiseParameter1_observable_Cumulative_cases_Counties_with_airports	normal
observable_Cumulative_cases_Counties_with_highways	Cumulative_cases_Counties_with_highways	Cumulative_cases_Counties_with_highways	noiseParameter1_observable_Cumulative_cases_Counties_with_highways	normal
observable_Cumulative_cases_Low_risk_counties	Cumulative_cases_Low_risk_counties	Cumulative_cases_Low_risk_counties	noiseParameter1_observable_Cumulative_cases_Low_risk_counties	normal
observable_Deceased_Counties_neighbouring_counties_with_airports	Deceased_Counties_neighbouring_counties_with_airports	Deceased_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Deceased_Counties_neighbouring_counties_with_airports	normal
observable_Deceased_Counties_with_airports	Deceased_Counties_with_airports	Deceased_Counties_with_airports	noiseParameter1_observable_Deceased_Counties_with_airports	normal
observable_Deceased_Counties_with_highways	Deceased_Counties_with_highways	Deceased_Counties_with_highways	noiseParameter1_observable_Deceased_Counties_with_highways	normal
observable_Deceased_Low_risk_counties	Deceased_Low_risk_counties	Deceased_Low_risk_counties	noiseParameter1_observable_Deceased_Low_risk_counties	normal
observable_Discharged_Counties_neighbouring_counties_with_airports	Discharged_Counties_neighbouring_counties_with_airports	Discharged_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Discharged_Counties_neighbouring_counties_with_airports	normal
observable_Discharged_Counties_with_airports	Discharged_Counties_with_airports	Discharged_Counties_with_airports	noiseParameter1_observable_Discharged_Counties_with_airports	normal
observable_Discharged_Counties_with_highways	Discharged_Counties_with_highways	Discharged_Counties_with_highways	noiseParameter1_observable_Discharged_Counties_with_highways	normal
observable_Discharged_Low_risk_counties	Discharged_Low_risk_counties	Discharged_Low_risk_counties	noiseParameter1_observable_Discharged_Low_risk_counties	normal
observable_Hospitalised_Counties_neighbouring_counties_with_airports	Hospitalised_Counties_neighbouring_counties_with_airports	Hospitalised_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Hospitalised_Counties_neighbouring_counties_with_airports	normal
observable_Hospitalised_Counties_with_airports	Hospitalised_Counties_with_airports	Hospitalised_Counties_with_airports	noiseParameter1_observable_Hospitalised_Counties_with_airports	normal
observable_Hospitalised_Counties_with_highways	Hospitalised_Counties_with_highways	Hospitalised_Counties_with_highways	noiseParameter1_observable_Hospitalised_Counties_with_highways	normal
observable_Hospitalised_Low_risk_counties	Hospitalised_Low_risk_counties	Hospitalised_Low_risk_counties	noiseParameter1_observable_Hospitalised_Low_risk_counties	normal
observable_ICU_Counties_neighbouring_counties_with_airports	ICU_Counties_neighbouring_counties_with_airports	ICU_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_ICU_Counties_neighbouring_counties_with_airports	normal
observable_ICU_Counties_with_airports	ICU_Counties_with_airports	ICU_Counties_with_airports	noiseParameter1_observable_ICU_Counties_with_airports	normal
observable_ICU_Counties_with_highways	ICU_Counties_with_highways	ICU_Counties_with_highways	noiseParameter1_observable_ICU_Counties_with_highways	normal
observable_ICU_Low_risk_counties	ICU_Low_risk_counties	ICU_Low_risk_counties	noiseParameter1_observable_ICU_Low_risk_counties	normal
observable_Infected_Counties_neighbouring_counties_with_airports	Infected_Counties_neighbouring_counties_with_airports	Infected_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Infected_Counties_neighbouring_counties_with_airports	normal
observable_Infected_Counties_with_airports	Infected_Counties_with_airports	Infected_Counties_with_airports	noiseParameter1_observable_Infected_Counties_with_airports	normal
observable_Infected_Counties_with_highways	Infected_Counties_with_highways	Infected_Counties_with_highways	noiseParameter1_observable_Infected_Counties_with_highways	normal
observable_Infected_Low_risk_counties	Infected_Low_risk_counties	Infected_Low_risk_counties	noiseParameter1_observable_Recovered_Counties_neighbouring_counties_with_airports	normal
observable_Recovered_Counties_neighbouring_counties_with_airports	Recovered_Counties_neighbouring_counties_with_airports	Recovered_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Recovered_Counties_neighbouring_counties_with_airports	normal
observable_Recovered_Counties_with_airports	Recovered_Counties_with_airports	Recovered_Counties_with_airports	noiseParameter1_observable_Recovered_Counties_with_airports	normal
observable_Recovered_Counties_with_highways	Recovered_Counties_with_highways	Recovered_Counties_with_highways	noiseParameter1_observable_Recovered_Counties_with_highways	normal
observable_Recovered_Low_risk_counties	Recovered_Low_risk_counties	Recovered_Low_risk_counties	noiseParameter1_observable_Recovered_Low_risk_counties	normal
observable_Susceptible_Counties_neighbouring_counties_with_airports	Susceptible_Counties_neighbouring_counties_with_airports	Susceptible_Counties_neighbouring_counties_with_airports	noiseParameter1_observable_Susceptible_Counties_neighbouring_counties_with_airports	normal
observable_Susceptible_Counties_with_airports	Susceptible_Counties_with_airports	Susceptible_Counties_with_airports	noiseParameter1_observable_Susceptible_Counties_with_airports	normal
observable_Susceptible_Counties_with_highways	Susceptible_Counties_with_highways	Susceptible_Counties_with_highways	noiseParameter1_observable_Susceptible_Counties_with_highways	normal
observable_Susceptible_Low_risk_counties	Susceptible_Low_risk_counties	Susceptible_Low_risk_counties	noiseParameter1_observable_Susceptible_Low_risk_counties	normal
observable_Total_cumulative_cases	Total_cumulative_cases	Total_cumulative_cases	noiseParameter1_observable_Total_cumulative_cases	normal
observable_Total_deaths	Total_deaths	Total_deaths	noiseParameter1_observable_Total_deaths	normal
observable_Total_hospitalisations	Total_hospitalisations_0	Total_hospitalisations_0	noiseParameter1_observable_Total_hospitalisations	normal
observable_Total_ICU	Total_ICU_0	Total_ICU_0	noiseParameter1_observable_Total_ICU	normal
observable_epsilon	epsilon	epsilon	1	normal
