observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	datasetId
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	26.0	0.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	34.78155691072429	1.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	44.52488904424552	2.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	55.33133111357493	3.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	67.31333717138418	4.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	80.59662181466206	5.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	95.32236450702254	6.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	111.64953708654562	7.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	129.75741016461177	8.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	149.84829110275052	9.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	172.15054621319663	10.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	196.9219606266659	11.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	224.45348916129382	12.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	255.07346420708723	13.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	289.15231935049655	14.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	327.10789877858036	15.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	369.41143892917796	16.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	416.5942900471211	17.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	469.2555198411403	18.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
observable_Cumulative_cases_Counties_neighbouring_counties_with_airports		condition1	528.070416963956	19.0		sd_Cumulative_cases_Counties_neighbouring_counties_with_airports	model1_data_Cumulative_cases_Counties_neighbouring_counties_with_airports
